,MRP,product code,product name,WEIGHT,Cost per item,ship,DISCOUNT,selling rate,GST,selling rate excl gst
Garden,564,0467,0467 Water Spray Gun Squirt Gun (10 meter),538,141,84,15,479,18,406
Garden,564,0469,0469 Garden Big Scissor,766,148,84,15,479,18,406
Garden,652,0470,0470 -5 Liter Watering Can / Bucket For Gardening,750,163,84,20,522,18,442
Garden,792,0473,0473 Soil Tester 3-in-1 Plant Moisture Sensor (Green),142,264,42,25,594,18,503
Garden,360,0477,0477 Plastic Garden Hose Nozzle Water Spray Gun Connector Tap Adapter Set,319,83,42,5,342,18,290
Garden,599,0479,"0479 Garden Shears Sharp Cutter Pruners Scissor, Pruner",266,187,42,20,479,18,406
Garden,704,0502,0502 -50 Ft Expandable Hose Pipe Nozzle For Garden Wash Car Bike With Spray Gun,883,175,84,25,528,18,447
Garden,428,0582,0582 Garden Shears Pruners Scissor,218,119,42,10,385,18,326
Garden,435,0590,0590 Durable Hose Nozzle Water Lever Spray Gun,204,66,42,25,326,18,276
Garden,819,0605,0605 -3 Way Soil Meter (pH Testing Meter),98,273,42,25,614,18,521
Garden,520,0640,0640 Garden Pressure Sprayer Bottle 1.5 Litre Manual Sprayer,194,148,42,15,442,18,375
Garden,693,0641,0641 -600g Hatchet Axe Fiberglass Body Rubberized Handle,785,194,84,20,554,18,470
Garden,299,0718,0718 Garden Genie Gloves,125,55,42,0,299,18,253
Garden,499,1505,1505 Gardening Tool Wood Handle Cultivator Trowel Forks Tool Set (3 pack),386,120,42,20,399,18,338
Garden,799,1506,1506 Professional Garden Scissor with Sharp Blade Comfortable Handle,276,269,42,25,599,18,508
Garden,599,1635,1635 Jet Water Cannon 8 in 1 Turbo Water Spray Gun,1635,177,168,0,599,18,508
Garden,599,1711,1711 Garden Sharp Cutter Pruners Scissor with grip-handle,1711,189,168,0,599,18,508
Gift,400,0879,0879 24K Artificial Golden Rose/Gold Red Rose with Gift Box (10 inches),140,90,42,15,340,18,288
Hardware,1266,0406,0406 -12/15pcs Milling Cutter Router Bit Set,525,633,84,15,1076,18,912
Hardware,636,0407,"0407 -10 pc, 6 pt. 3/8 in. Drive Standard Socket Wrench Set",1082,225,126,5,604,18,512
Hardware,628,0408,0408 -6pcs Metal HSS Circular Saw Blade Set Cutting Discs for Rotary Tool,54,139,42,30,440,18,373
Hardware,408,0409,0409 -10pcs 3mm/6mm Dia Shank Mounted Stone (Rotary Tools),123,102,42,10,367,18,311
Hardware,380,0412,0412 -5 Pcs Shank Abrasive Mounted Stone (Multicolour),145,59,42,15,323,18,274
Hardware,652,0415,0415 -12 pcs 19-64mm Hole Saw Kit,506,163,84,20,522,18,442
Hardware,365,0416,0416+419 Drill Bit (13 pcs + 5 pcs),103,57,42,15,310,18,263
Hardware,380,0417,"0417 Welding Goggles (Dark Green, Large)",182,48,42,20,304,18,258
Hardware,365,0419,0419 Drill Bits (13 pcs),113,67,42,15,310,18,263
Hardware,440,0420,"0420 Ultra thin Cutting wheel/Disc, 110 mm Super Thin Diamond Saw Blade Cutting Wheel (Pack of 1)",96,110,42,15,374,18,317
Hardware,599,0421,0421 Socket Combination Toolkit (40 pcs),1042,243,126,0,599,18,508
Hardware,1499,422,"0422 Socket 1/4 Inch Combination Repair Tool Kit (Red, 46 pcs)",1234,575,126,15,1274,18,1080
Hardware,492,0423,0423 Socket and Screwdriver Tool Kit Accessories (41 pcs),483,123,42,20,394,18,334
Hardware,410,0424,0424 Silicone Carbide Combination Stone Knife Sharpener for Both Knives and Tools,333,69,42,20,328,18,278
Hardware,440,0425,"0425 Steel and Iron Cutting Wheel 4"" (107 x 1 x 16 mm)",80,110,42,15,374,18,317
Hardware,492,0428,"0428 Wood Hole Saw Cutting Set (11 pcs, 19-64mm, Multicolour)",435,143,42,15,418,18,354
Hardware,792,0432,0432 Hole Saw Drill Bit set (16 pcs),975,275,84,20,634,18,537
Hardware,365,0433,0433 Hole Saw Set Drill Bit set 32mm/38mm/44mm/54mm (6 pcs),191,75,42,10,329,18,278
