CATEGORY,MRP,product code,product name,DISCOUNT,GST,selling rate excl gst,hsn,
Power & Hand tools,430,0451,0451 -24pcs T shape screwdriver set Batch Head Ratchet Pawl Socket Spanner hand tools,20,18,292,820540,
Hardware,1584,0452,"0452 -46pcsMetal 1/4"" Socket Set (Black, 46pcs)",30,18,940,820540,
Garden,428,0455,"0455 Wooden Handle Hedge Shears, Bush Clipper",15,18,308,820810,
Power & Hand tools,350,0459,0459 Pencil Style Glass Cutter,15,18,252,820790,
Power & Hand tools,330,0461,0461 Magnetic 31 in 1 Repairing Screw Driver Tool Set Kit,5,18,266,820740,
Power & Hand tools,408,0462,0462 Carpenter Mini Claw Hammer,5,18,328,820740,
Garden,572,0464,"0464 Folding Saw(180 mm) for Trimming, Pruning, Camping. Shrubs and Wood",25,18,364,820790,
Garden,485,0466,0466 Garden Shears Pruners Scissor (8 inch),25,18,308,820890,
Garden,564,0469,0469 Garden Big Scissor,15,18,406,820740,
Garden,652,0470,0470 -5 Liter Watering Can / Bucket For Gardening,20,18,442,392690,
Garden,792,0473,0473 Soil Tester 3-in-1 Plant Moisture Sensor (Green),25,18,503,902480,
Garden,360,0477,0477 Plastic Garden Hose Nozzle Water Spray Gun Connector Tap Adapter Set,5,18,290,392690,
Garden,599,0479,"0479 Garden Shears Sharp Cutter Pruners Scissor, Pruner",20,18,406,820740,
Stationery,660,0483,0483 Transparent HOT MELT Glue Sticks for DIY and Craft Work Big 10 mm 8 inch  (Set of 40),15,18,475,350699,
Automotive,744,0485,"0485 Portable Mini Foot Pump for Bicycle,Bike and car",30,18,441,841420,
Home Decor,499,0492,0492 Multi Purpose Brick Thin Slim Bright Lens Led Light,20,18,338,940510,
Garden,704,0502,0502 -50 Ft Expandable Hose Pipe Nozzle For Garden Wash Car Bike With Spray Gun,25,18,447,392690,
"Beauty, Health & Personal Care",496,0503,0503 Silicone Moisturizing Feet Socks Gel (1 pair),20,18,336,391000,
Travel,415,0505,"0505 -3-in-1 Air Travel Kit with Pillow, Ear Buds & Eye Mask",20,18,281,401610,
Automotive,420,0507,0507 Night HD Vision Driving Anti Glare Eyeglasses,20,18,285,900390,
Automotive,528,0512,0512 Heavy Duty Tire Inflator Gauge Air Compressor Accessories,20,18,358,841440,
