Handle,Titl,e,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,SKU,HS Code,COO,DeoDap International Private Limited
champs-diapers-956_xlar_32,956,"Premium Champs High Absorbent Pant Style Diaper Extra Large(XL) Size, 32 Pieces (956_XLar_32)",Default Title,,,,,0956_xlar_32,,,0
champs-diapers-955_large_38,955,"Premium Champs High Absorbent Pant Style Diaper Large Size, 48 Pieces(955_Large_48)",Default Title,,,,,0955_large_48,,,0
champs-diapers-954_large_34,954,"Premium Champs High Absorbent Pant Style Diaper Large Size, 34 Pieces (954_Large_34)",Default Title,,,,,0954_large_34,,,0
champs-diapers-953_medium_56,953,"Premium Champs High Absorbent Pant Style Diaper Medium Size, 56 Pieces (953_Medium_56)",Default Title,,,,,0953_medium_56,,,0
champs-diapers-952_medium_40,952,"Premium Champs High Absorbent Pant Style Diaper Medium Size, 40 Pieces (952_Medium_40)",Default Title,,,,,0952_medium_40,,,0
champs-diapers-951_small_60,951,"Premium Champs High Absorbent Pant Style Diaper Small Size, 60 Pieces (951_Small_60)",Default Title,,,,,0951_small_60,,,0
champs-diapers-950_small_42,950,"Premium Champs High Absorbent Pant Style Diaper Small Size, 42 Pieces (950_Small_42)",Default Title,,,,,0950_small_42,,,0
deodap-portable-lcd-digital-hanging-luggage-scale,546,Portable LCD Digital Hanging Luggage Scale,Default Title,,,,,0546_ele_scale_50kg,690919,CN,39
deodap-gardening-tool-hand-weeder-straight,480,Gardening Tool - Hand Weeder Straight,Default Title,,,,,0480_tools_straight,,,247
deodap-kitchen-tools-stainless-steel-potato-masher-pav-bhaji-masher-with-wooden-handle,64,"Stainless Steel Potato Masher, Pav Bhaji Masher with wooden handle",Default Title,,,,,0064_paubhaji_masher,,,583
deodap-cleaning-materials-3pcs-mini-wire-brush-set-rust-paint-metal-cleaner-cleaning-welding-slag-and-rust-handy-steel-nylon-brass-brush,244,-3pcs Mini Wire Brush Set (Steel/Nylon/Brass Brush),Default Title,,,,,0244_black_brush_3pc,,,2026
deodap-combination-tool-kit-metal-1-4-socket-set-black-46pcs,452,"-46pcsMetal 1/4"" Socket Set (Black, 46pcs)",Default Title,,,,,0452_black_46toolkit,,,563
deodap-gardening-tools-garden-shears-sharp-cutter-pruners-scissor-pruning-seeds-with-grip-handle,479,"Garden Shears Sharp Cutter Pruners Scissor, Pruner",Default Title,,,,,0479_sharp_fcutter,,,0
deodap-cleanning-supplies-4-layer-mop-and-broom-holder-garden-tool-organizer-multipurpose-wall-mounted,243,"4-Layer Mop and Broom Holder, Garden Tool Organizer, Multipurpose Wall Mounted",Default Title,,,,,0243_4lyr_broom_holder,,,396
deodap-tire-repair-tools-heavy-duty-tire-inflator-gauge-air-compressor-accessories,512,Heavy Duty Tire Inflator Gauge Air Compressor Accessories,Default Title,,,,,0512_pressure_gauge_round,,,42
deodap-saw-blade-set-6pcs-metal-hss-circular-saw-blade-set-cutting-discs-for-rotary-tool,408,-6pcs Metal HSS Circular Saw Blade Set Cutting Discs for Rotary Tool,Default Title,,,,,0408_hss_saw_6pc,,,175
deodap-condiment-set-spice-rack-premium-multipurpose-revolving-plastic-spice-rack-masala-organiser-12-pcs-set,95,Revolving Plastic Spice Rack Masala Organiser (12 pcs ),Default Title,,,,,0095_12pc_spicerack,,,251
deodap-kitchen-small-knife-with-cover,92,Kitchen Small Knife with cover -,Default Title,,,,,0092_knife_with_cover,392410,IN,0
spatula-and-pastry-brush-for-cake-mixer-decorating-cooking-baking-and-glazing,136,Spatula and Pastry Brush for Cake Mixer,Default Title,,,,,0136_spatula_pastry_brush,,,0
97_8pc-spice-rack,97,Revolving Plastic Spice Rack Masala Organiser (8 Pcs),Default Title,,,,,0097_8pc_spicerack,,,142
deodap-spice-rack-premium-multipurpose-revolving-plastic-spice-rack-masala-organiser-6-pcs-set,100,Plastic Spice Rack Masala Organiser (6 Pcs),Default Title,,,,,0100_6pc_spicerack,,,137
deodap-gardening-accessories-plastic-garden-hose-nozzle-water-spray-gun-connector-tap-adapter-set,477,Plastic Garden Hose Nozzle Water Spray Gun Connector Tap Adapter Set,Default Title,,,,,0477_hose_nozzle_set,,,674
natation-mobile-accessories-universal-phone-stand-foldable-v-shape-tablet-pc-desk-mobile-mount-stand-holder-bracket-for-smart-phones-random-color-pack-of-4,288,Universal Phone Stand Foldable V Shape Mobile Mount Stand Holder Bracket (Random Color),Default Title,,,,,0288_v_shape_mholder,,,0
deodap-home-decor-led-dream-night-light-night-auto-on-off-sensor-mushroom-lamp-multi-color-illumination-with-flowers,217,"LED Dream Night Light, Auto ON/Off Sensor Mushroom Lamp (Multicolor)",Default Title,,,,,0217_premium_mushroom_flower,,,0
deodap-bathroom-accessories-organization-deluxe-plastic-mug-for-bathroom-muga_101,196,Deluxe Plastic Mug for Bathroom (muga_101),Default Title,,,,,0196_muga_101,,,0
watch_wt1002_10-w,1802,Unique & Premium Analogue Watch 10 Messi Print Multicolour Dial Leather Strap (Watch 2),Default Title,,,,,1802_Watch_wt2,,,0
deodap-wall-mounted-mop-broom-hanger-holder-organiser-for-kitchen-bathroom-garage-and-garden,198,Wall Mounted Mop & Broom Hanger Holder (With box),Default Title,,,,,0198_invisible_mop_hanger,,,792
150_easy_flow_1700ml-1pc,150,"Plastic Transparent Cans Jars, Storage Bottles, Storage Box (1700 ml, 1 pc)",Default Title,,,,,0150_easy_flow_1700ml_1pc,,,379
149_easy_flow_1100ml-1pc,149,"Plastic Transparent Cans, Jars Storage Bottles, Storage Box (1100 ml, 1pc)",Default Title,,,,,0149_easy_flow_1100ml_1pc,,,0
207_washing-ball_6pcs,207,"Laundry Washing Ball, Wash Without Detergent (6pcs)",Default Title,,,,,0207_washing_ball_6pcs,392410,IN,347
219_egg_seater,219,"Cushion Seat Flex Pillow, Gel Orthopedic Seat Cushion Pad (Egg Sitter)",Default Title,,,,,0219_egg_seater,,,0
white-stretch-film-per-kg-any-size,949,Stretch Wrap Roll for Luggage Packing/Wrapping (White Stretch Film per KG any size),Default Title,,,,,0949_wht_stretch_film_per_kg,,,0
brown-tape-65-meters-41-micron,948,Brown Packing Tape (Plain Tape 65 Meters 41 Micron) - 1 Pcs,Default Title,,,,,0948_brwn_tape_65mtr,,,0
12x14-plain-180-pod-m1,905,Tamper Proof Courier Bags(12X14 PLAIN 180 POD M1) - 100 pcs,Default Title,,,,,0905_12x14_180_m1,,,0
09x12-plain-180-pod-m1,902,Tamper Proof Courier Bags(09X12 PLAIN 180 POD M1) - 100 pcs,Default Title,,,,,0902_09x12_180_m1,,,174
8x10-plain-180-pod-m1,901,Tamper Proof Courier Bags(8X10 PLAIN 180 POD M1) - 100 pcs,Default Title,,,,,0901_8x10_180_m1,,,0
6-5x08-plain-180-pod-m1,900,Tamper Proof Courier Bags(6.5X08 PLAIN 180 POD M1) - 100 pcs,Default Title,,,,,0900_6_5x08_180_m1,,,0
deodap-pure-silver-coin-for-gift-pooja-silver-coin,866,Silver color Coin for Gift & Pooja (Not silver metal),Default Title,,,,,0866_art_coin_1,,,118
natation-mobile-accessories-wall-holder-for-phone-charging-stand-mobile-with-holder,289,Wall Holder for Phone Charging Stand Mobile with Holder,Default Title,,,,,0289_dot_charging_stand,,,0
deodap-kitchen-storage-smart-baskets-for-storage-set-of-3-sky-blue,62,Smart Baskets for Storage(Set of 3),Default Title,,,,,0062_smart_kitchen_basket,,,809
deodap-sports-fitness-skipping-rope-9-feet-for-men-gym-women-weight-loss-kids-girls-children,635,Electronic Counting Skipping Rope (9-feet),Default Title,,,,,0635_skipping_rope_9ft,,,308
deodap-eco-friendly-laundry-washing-ball-wash-without-detergent,205,"Laundry Washing Ball, Wash Without Detergent (4pcs)",Default Title,,,,,0205_4pc_washing_transpenet_ball,,,83
deodap-kitchen-tools-virgin-plastic-french-fry-chipser-potato-chipser-potato-slicer-with-container,114,"Virgin Plastic French Fry Chipser, Potato Chipser/Potato Slicer with Container",Default Title,,,,,0114_smart_potato_chipser,,,118
deodap-hand-safety-gear-hand-gloves-leather-split-1-pair,717,Hand Gloves Leather Split 1 Pair,Default Title,,,,,0717_leather_hand_gloves,,,0
deodap-gardening-tools-bottle-sprayer-for-plants-garden-pesticide-car-wash-with-adjustable-brass-nozzle-sprayer-handheld-pump,468,Bottle Sprayer for Plants Garden Pesticide Car Wash with Adjustable Brass Nozzle Sprayer (Handheld Pump),Default Title,,,,,0468_yellow_hand_pump,,,610
plastic-multi-purpose-aachar-pickle-container-chutney-mukhwas-tray-masala-tray-dining-spice-stand-set-of-4-jar-with-lid-2-spoon-1-tray,78,"Plastic Aachar Pickle Container/Chutney/Mukhwas Tray/Masala Tray/Dining Spice Stand (Set of 4 Jar, 2 Spoon, 1 Tray,)",Default Title,,,,,0078_mt_4pc_dininig_set,,,178
banana-case-lunch-box-protector-container-holder-carrier-storage-yellow,123,Banana Case Lunch Box Yellow,Default Title,,,,,0123_banana_case,392410,IN,0
pci-cardboard-troublegum-small-size-mouse-trap-pack-of-1,247,PCI Cardboard Troublegum Small Size Mouse Trap-1pc,Default Title,,,,,0247_pci_sml_mice_trp,,,10264
deodap-professional-glass-cutting-tools-metal-glass-cutter-gold,458,"Metal Glass Cutter, Gold",Default Title,,,,,0458_glass_cutter_gold,,,1400
deodap-3-layer-mop-and-broom-holder-garden-tool-organizer-multipurpose-wall-mounted,240,3 Layer Mop and Broom Holder,Default Title,,,,,0240_3lyr_broom_holder,,,249
deodap-cleansing-detox-foot-pads-ginger-salt-foot-patch-10pcs-free-size-white,644,"kinoki Cleansing Detox Foot Pads, Ginger & salt Foot Patch -10pcs (Free Size, White)",Default Title,,,,,0644_foot_pads,,,154
deodap-electronic-scale-multipurpose-mh-200-lcd-screen-digital-electronic-portable-mini-pocket-scaleweighing-scale-for-measuring-small-items-200g,643,"Multipurpose (MH-200) LCD Screen Digital Electronic Portable Mini Pocket Scale(Weighing Scale), 200g",Default Title,,,,,0643_pocket_scale_mh_200,,,0
deodap-gardening-tools-600g-hatchet-axe-fiberglass-body-rubberized-handle,641,-600g Hatchet Axe Fiberglass Body Rubberized Handle,Default Title,,,,,0641_pick_axe_600gm,,,0
deodap-personal-care-mens-beard-and-hair-curling-straightener-modelling-comb,348,Men's Beard and Hair Curling Straightener (Modelling Comb),Default Title,,,,,0348_men_straightner,,,464
deodap-gardening-tools-garden-pressure-sprayer-bottle-1-2-litre-manual-sprayer-640_1-5ltr_garden_spray,640,Garden Pressure Sprayer Bottle 1.5 Litre Manual Sprayer,Default Title,,,,,0640_1_5ltr_garden_spray,,,0
deodap-garedning-tools-5-liter-watering-can-bucket-for-gardening-cleaning-purpose-spraying-pesticides,470,-5 Liter Watering Can / Bucket For Gardening,Default Title,,,,,0470_garden_spray_bucket_5ltr,,,0
deodap-folding-pruning-hand-saw-for-trimming-pruning-camping-trees-wood-branches-shrubs-and-wood-180mm-464_folding_saw,464,"Folding Saw(180 mm) for Trimming, Pruning, Camping. Shrubs and Wood",Default Title,,,,,0464_folding_saw,,,0
deodap-plastic-4-compartment-sprout-maker-white-1,70,"Plastic 4 Compartment Sprout Maker, White",Default Title,,,,,0070_sprout_maker_4_container,,,419
deodap-plastic-vegetable-chopper-set-3-pieces-orange,71,Plastic Vegetable Chopper  (1000 ml),Default Title,,,,,0071_dual_quick_cutter,,,200
deodap-plastic-2-in-1-knife-black,67,2 in 1 Kitchen Vegetable Smart Cutter and Chopper,Default Title,,,,,0067_smart_cutter,,,327
deodap-apple-cutter-with-air-tight-containers-white,87,Apple Cutter (Multi Color),Default Title,,,,,0087_apple_cutter,,,1587
deodap-plastic-kitchen-press-set-15-pieces-silver-kitchen_press,90,"Kitchen Press Set 12 pcs, Silver (Kitchen_Press)",Default Title,,,,,0090_kitchen_press_12pc,,,0
deodap-plastic-3-compartment-sprout-maker-white,93,"Plastic 3 Compartment Sprout Maker, White",Default Title,,,,,0093_sprout_maker_3_container,,,0
deodap-kitchen-knife-set-with-wooden-block-and-scissors-5-pieces-black,102,"Kitchen Knife Set with Wooden Block and Scissors (5 pcs, Black)",Default Title,,,,,0102_wooden_block_scissor_5pc,,,0
deodap-milk-lassi-maker-hand-press-blender-mixer-egg-beater-lassi-butter-handle-coffee-milk-egg-beater-mixer-shakercolour-assorted,60,Power free blender,Default Title,,,,,0060_power_free_blender,,,0
deodap-plastic-snack-bag-clip-sealer-set-18-pieces-multicolour,105,"Plastic Snack Bag Clip Sealer Set (18 Pcs, Multicolour)",Default Title,,,,,0105_food_clip_18pc,,,3893
deodap-plastic-measuring-cups-and-spoons-8-pieces-black,106,"Plastic Measuring Cups and Spoons (8 Pcs, Black)",Default Title,,,,,0106_measuring_cup_grin_9pc,392410,IN,1093
deodap-plastic-handheld-egg-cracker-with-separator-for-raw-eggs,109,Plastic Handheld Egg Cracker with Separator,Default Title,,,,,0109_egg_crack,,,0
natation-mini-flower-shape-cellphone-holder-car-mount-sucker-stand-360-rotatable-multi-angle-phone-metal-magic-suction-cup-mobile-holder-compatible-with-universal-smartphones-multicolored,637,-360 Rotatable Flower Shape Cellphone Holder (Multicolored With Box)),Default Title,,,,,0637_tiktok_vip_stand,,,0
natation-gorilla-tripod-fully-flexible-tripod-6-inch-height-universal-mini-mobile-tripod-with-mobile-clip-holder,636,Gorilla Tripod Fully Flexible Tripod (6 Inch),Default Title,,,,,0636_mini_gorila_tripod,,,0
7-days-pill-box,347,-7 Days Pill Box with 7 Compartments,Default Title,,,,,0347_plain_pill_box_7days,,,346
deodap-emoji-pens-for-kids-emoji-character-ballpen-with-stylish-ribbon-for-birthday-prizes-school-reward-pinata-filler-unique,632,DeoDap Emoji Pens,Default Title,,,,,0632_emoji_pen_1pc,,,5001
smart-candy-box,634,Smart Candy Box,Default Title,,,,,0634_candy_tray,392410,IN,517
scratcher-back-telescopic-scratching-backscratcher-massager-kit-back-scraper-extendable-telescoping-itch-health-products-hackle,345,Scratcher Back Telescopic Scratching Backscratcher Massager Kit,Default Title,,,,,0345_cn_khujli,,,0
stainless-steel-pizza-cutter-pastry-cutter-sandwiches-cutter-multicolour,631,Stainless Steel Pizza Cutter/Pastry Cutter/Sandwiches Cutter,Default Title,,,,,0631_pizza_cutter,,,959
portable-notebook-style-ultra-slim-water-bottle-380-ml-multicolor,364,"Notebook Style Slim Water Bottle (380 ml, Multicolor)",Default Title,,,,,0364_notebook_bottle,,,421
set-of-10-forks-set-for-party-kids-melamine-serving-fork-random-color,627,"Kids Forks Set (Random Color, 10 pcs)",Default Title,,,,,0627_baby_fork_10pc,,,209
cotton-polyester-mens-work-gloves-with-pvc-dotted-string-knit-one-size-fits-all,713,Cotton Polyester Mens Work Gloves,Default Title,,,,,0713_cotton_gloves,611691,CN,1027
mobile-phone-metal-stand-holder-for-smartphones-and-tablet-antique-silver,622,Mobile Phone Metal Stand (Silver),Default Title,,,,,0622_mob_steel_charging_stand,,,76
led-glass-cup-inductive-rainbow-color-changing-flashing-light-up-celebration-decoration-for-your-home-and-also-gifting-purpose,619,Led Glass Cup (Rainbow Color),Default Title,,,,,0619_led_color_cup,,,2436
chocolate-coated-roasted-peanut-chocolate-96-grams,47,Effete Peanut Chocolate (96 Gms),Default Title,,,,,0047_effete_peanut_96,,,606
true-touch-5-finger-deshedding-glove-great-for-cats-and-dogs-blue-and-black,614,True Touch 5 Finger Deshedding Glove (1 pc),Default Title,,,,,0614_true_touch,401590,CN,10674
prune-chromium-steel-saw-3-edge-sharpen-teeth-with-plastic-cover-and-blister-packing,615,Chromium Steel Saw 3 Edge Sharpen Teeth with Plastic Cover and Blister Packing,Default Title,,,,,0615_hand_saw,,,0
led-flashlight-earpick-with-tweezer-and-spoons-in-case-earpick,611,LED Flashlight Earpick with Tweezer,Default Title,,,,,0611_flishlight_earpick,,,5011
stainless-steel-onion-chilly-dry-fruit-vegetable-cutter-chopperstandard-square,84,Stainless Steel Vegetable Cutter Chopper (Chilly Cutter),Default Title,,,,,0084_chilly_cutter,,,217
multipurpose-dining-set-jar-and-tray-holder-chutneys-pickles-spices-jar-3pc,609,"Multipurpose Dining Set Jar and tray holder, Chutneys/Pickles/Spices Jar - 3pc",Default Title,,,,,0609_dining_jar_3pc,,,192
multipurpose-dining-set-jar-and-tray-holder-chutneys-pickles-spices-jar-2pc,608,"Multipurpose Dining Set Jar and tray holder, Chutneys/Pickles/Spices Jar - 2pc",Default Title,,,,,0608_dining_jar_2pc,,,210
chocofarm-chocolate-coated-peanuts-32-gms,40,Chocolate peanuts (32 GMs),Default Title,,,,,0040_chocofarm_peanut_32,,,0
deodap-multi-functional-2-in-1-kitchen-vegetable-clever-cutter-and-chopper,73,"Stainless Steel 4 in 1 Clever Cutter, Black",Default Title,,,,,0073_4in1_clever_cutter,,,700
plastic-kitchen-sink-dish-drainer-drying-rack-washing-holder-basket-random-colour,607,Plastic Sink Dish Drainer Drying Rack,Default Title,,,,,0607_washing_holder_basket,,,0
deodap-gardening-tools-three-way-soil-meter-for-moisture-light-intensity-and-ph-testing-meter,605,-3 Way Soil Meter (pH Testing Meter),Default Title,,,,,0605_sq_soil_meter,,,0
deodap-3-fold-premium-umbrella-for-men-and-women,234,-3 Fold Premium Umbrella,Default Title,,,,,0234_3_fold_umbrella,,,0
waterproof-mobile-pouch-6-2-inch-random-colour,601,"Waterproof Mobile Pouch (6.2 inch , Random Colour)",Default Title,,,,,0601_waterproof_m_pouch,,,966
maniaars-khakhra-snacks-slim-bites-combo,38,A3 Slim bites khakhra (Pack of 8),Default Title,,,,,0038_a3_slim_bites_kh,190590,IN,0
deodap-socket-set-10-pc-6-pt-3-8-in-drive-standard-socket-wrench-set,407,"-10 pc, 6 pt. 3/8 in. Drive Standard Socket Wrench Set",Default Title,,,,,0407_10pc_socket,731815,CN,0
potty-toilet-seat-with-step-stool-ladder-3-in-1-trainer-for-kids-toddlers-w-handles-multicolour,344,-3 in 1 Kids/Toddler Potty Toilet Seat with Step Stool Ladder (Multicolour),Default Title,,,,,0344_toilet_ladder,,,35
paper-cutter-stationary-item-standered-quality-knive-18mm,597,Paper Cutter (18 mm),Default Title,,,,,0597_knife_cutter,,,6925
high-speed-power-bank-micro-usb-charging-cable-short-flat-android-cable-for-all-android-smartphones-devices-and-power-bank,593,Power Bank Micro USB Charging Cable,Default Title,,,,,0593_small_cable,,,0
stainless-steel-vegatable-and-dry-fruit-slicer-cutter-multicolour,117,Stainless Steel Vegatable and Dry Fruit Slicer/Cutter,Default Title,,,,,0117_dry_fruit_slicer,,,1016
deodap-multi-purpose-key-lock-for-biycles-bikes-helmets-luggage,228,Multi Purpose Key-Lock (Cable Lock),Default Title,,,,,0228_cable_lock_02,,,177
silicone-sucker-car-mobile-holder-for-dashboard-windshield-office-table,591,Silicone Sucker Mobile Holder,Default Title,,,,,0591_heavy_m_hldr110,392620,CN,177
plastic-gas-lighter-for-kitchen-stove-with-adjustable-flame-and-gas-refillable-multicolour,154,Plastic Adjustable Flame & Gas refillable Lighter (Multicolour),Default Title,,,,,0154_refillable_gas_lighter,,,1710
industrial-safety-gear-cut-resistant-gloves-high-performance-level-5-protection-food-grade-1-pair,715,Level 5 Protection Cut Resistant Gloves (1 pair),Default Title,,,,,0715_cut_resistant_gloves,,,0
heel-pain-relief-silicone-gel-heel-socks-heel-protector-socks-for-men-and-women-multi-color-as-per-availability,343,Heel Pain Relief Silicone Gel Heel Socks (Multicolor),Default Title,,,,,0343_gel_heel_socks,,,550
durable-hose-nozzle-water-lever-spray-gun,590,Durable Hose Nozzle Water Lever Spray Gun,Default Title,,,,,0590_spray_gun,,,2801
night-light-mushroom-lamp-energy-saving-color-changing-led-sensor-night-lamp-light-green-plants-on-the-wall-romantic-colorful-home-decor-baby-room-bedroom-nursery-outdoor-colorful,239,Night Light Mushroom Lamp (Colorful),Default Title,,,,,0239_king_flower_light,,,354
silicone-spatula-heat-proof-non-toxic-kitchen-spatula-multicolor,162,Small Silicone Spatula (Multicolor),Default Title,,,,,0162_spatula_small,,,2791
carpenter-claw-hammerhorn-hammer-lifesaving-broken-window-hammer-handle-rubber-grip-mini-random-color,462,Carpenter Mini Claw Hammer,Default Title,,,,,0462_mini_hammer,,,3828
mushroomlamp-fish-0-2-watt-automatic-night-sensor-mushroom-lamp-multicolour,254,"Automatic Night Sensor Mushroom Lamp (0.2 watt, Multicolour)",Default Title,,,,,0254_mushroom_light,,,0
tablet-pill-organizer-box-with-snap-lids-7-day-am-pm-large-compartments-for-bigger-pills-white,397,Tablet Pill Organizer Box With Snap Lids,Default Title,,,,,0397_2_layer_pillbox,,,0
8mm-electronic-round-thick-tempered-glass-electronic-digital-personal-bathroom-health-body-weight-weighing-scale,169,-8mm Electronic Tempered Glass Digital Weighing Scale,Default Title,,,,,0169_weighing_scale_8mm,,,0
50-kg-black-digital-electronics-portable-luggage-scale-with-lcd-backlight,548,Black Digital Portable Luggage Scale with LCD Backlight (50 kg),Default Title,,,,,0548_luggage_scale,,,42
digital-heavy-duty-portable-hook-type-with-temp-weighing-scale-50-kg-multicolor,549,"Digital Portable Hook Type Weighing Scale (50 kg, Multicolor)",Default Title,,,,,0549_portable_scale,,,128
1-pair-moisturize-spa-socks-repair-cracked-skin-treatment-gel-soft-moisturizing-feet-socks-gel-silicone-gel-booties-spa-insoles,503,Silicone Moisturizing Feet Socks Gel (1 pair),Default Title,,,,,0503_spa_gel_socks,,,1059
portable-steam-iron-handheld-garment-steamer-household-garment-ironing-for-cloths-assorted-color,550,Portable Handheld Garment Steamer,Default Title,,,,,0550_travel_steamer,,,0
camping-lounger-sofa-inflatable-lamzac-hangout-sleeping-bag-beach-lazy-air-bed,868,Camping Inflatable Lounger Sofa,Default Title,,,,,0868_cloud_lounger,,,0
silicone-ice-cube-maker-bucket-revolutionary-space-saving-ice-ball-makers-for-home-party-and-picnic,165,Silicone Ice Cube Maker,Default Title,,,,,0165_ice_cube_maker,,,391
professional-folding-hair-dryer-hair-with-2-speed-control,389,Folding Hair Dryer Hair with 2 speed control,Default Title,,,,,0389_Hair_Dryer,,,89
clip-on-8x-optical-zoom-telescope-phone-camera-lens,319,Clip-on 8X Optical Zoom Telescope Phone Camera Lens,Default Title,,,,,0319_mobile_lens,,,0
hand-cultivator-black-steel,474,"Hand Cultivator (Steel, Black)",Default Title,,,,,0474_hand_cultivator,,,200
hand-weeding-fork-steel-black,475,"Hand Weeding Fork (Steel, Black)",Default Title,,,,,0475_weeding_fork,,,1189
hand-digging-trowel-steel-black,476,"Hand Digging Trowel (Steel, Black)",Default Title,,,,,0476_digging_trowel,,,200
3d-roller-face-massager,370,-3D Roller Face Massager,Default Title,,,,,0370_cm_3d_massager,901910,CN,0
bicycle-pump-aluminum-alloy-mini-portable-bike-pump-1pc-multicolor,544,Aluminum Mini Bicycle Air Pump (Multicolor),Default Title,,,,,0544_mini_air_pump,,,156
pci-cardboard-troublegum-big-size-mouse-trap-pack-of-4,246,PCI Big Size Mouse Trap,Default Title,,,,,0246_pci_big_mice_trp,,,773
40w-glue-gun-hot-melt-glue-gun-with-free-2-sticks,575,Glue Gun (40 watt),Default Title,,,,,0575_Gluegun40W,,,0
multipurpose-pickle-jar-set-for-dining-plastic-spice-storage-rack-4piece-4-jar-condiment-set-mouthfreshner-set-multicolour-4pcs,163,"Multipurpose Pickle Jar Set (Multicolour, 4 pcs)",Default Title,,,,,0163_spice_pickle_set,,,157
soil-tester-3-in-1-plant-moisture-sensor-meter-light-ph-tester-for-home-garden-lawn-farm-indoor-outdoor-use-promote-plants-healthy-growth-green,473,Soil Tester 3-in-1 Plant Moisture Sensor (Green),Default Title,,,,,0473_soil_meter,,,62
combination-padlock-supply-business-safety-password-locksmith-4-digit-lock-code-suitcase-security-metal-gear-safes-dial-random-color,218,-4 Digit Combination Padlock,Default Title,,,,,0218_4digit_lock,,,0
meter-length-high-adhesive-transparent-cello-clear-bopp-tape-for-packing-office-company-industry-home-packaging,572,High Adhesive Transparent Tape for Home Packaging,Default Title,,,,,0572_cello_tape,,,3713
kitchen-fridge-space-saver-organizer-slide-storage-racks-shelf-1-pcs,160,Fridge Space Saver Organizer Slide Storage Racks Shelf (1 pcs),Default Title,,,,,0160_q_1_fridge_rack,,,0
brown-box-for-product-packing,570,Brown Box For Product Packing,Default Title,,,,,0570_brown_box,,,0
plastic-disposable-ear-loop-elastic-3-layer-face-mask-blue,387,Disposable Ear Loop Elastic 3 Layer Face Mask (Blue),Default Title,,,,,0387_face_mask,,,0
new-car-garbage-can-car-trash-can-for-ford-focus-kuga-fiesta-ecosport-mondeo-mini-trash-can,537,Car Dustbin/Mini Car Trash Bin/Car Ashtray,Default Title,,,,,0537_car_dustbin,,,1345
gambit-manual-gola-maker-multicolour,130,Manual Gola Maker (Multicolour),Default Title,,,,,0130_gola_maker,,,0
2-in-1-hair-straightener-and-curler-machine-for-women-curl-straight-hair-iron,385,2 in 1 Hair Straightener and Curler Machine For Women | Curl & Straight Hair Iron,Default Title,,,,,0385_hair_straightener,,,30
new-b-portable-for-outdoor-cycling-camping-hiking-spray-with-water-bottle,540,New B Portable Water Bottle,Default Title,,,,,0540_spray_water_bottle,,,0
ventilation-back-rest-with-lumbar-support,534,Ventilation Back Rest with Lumbar Support,Default Title,,,,,0534_car_back_rest,392620,CN,308
deodap-5m-pocket-measuring-tape-with-lock,457,5M Pocket Measuring Tape,Default Title,,,,,0457_measuring_tape_5_mtr,,,0
24pcs-t-shape-screwdriver-set-batch-head-ratchet-pawl-socket-spanner-hand-tools,451,-24pcs T shape screwdriver set Batch Head Ratchet Pawl Socket Spanner hand tools,Default Title,,,,,0451_24pcs_t_shape_screwdriver,,,571
8-5-inch-digital-lcd-writing-drawing-tablet-pad-graphic-ewriter-boards-notepad,316,Digital LCD 8.5'' inch Writing Drawing Tablet Pad Graphic eWriter Boards Notepad,Default Title,,,,,0316_8_5_lcd_tablet,,,307
protective-durable-heat-resistant-welding-work-gloves,716,Protective Durable Heat Resistant Welding Gloves,Default Title,,,,,0716_welding_gloves,,,330
hp-laptop-bag-15-6-inch-backpack-black-blue,274,Laptop Bag 15.6 inch,Default Title,,,,,0274_h_bag,,,158
garden-genie-gloves,718,Garden Genie Gloves,Default Title,,,,,0718_garden_gloves,,,5475
12-15pcs-milling-cutter-router-bit-set-wood-cutters-tool,406,-12/15pcs Milling Cutter Router Bit Set,Default Title,,,,,0406_router_bit_12pc,,,0
portable-mini-flexible-usb-led-light-led-lamp-for-keyboard-reading-laptop-desk,315,USB LED Light Lamp,Default Title,,,,,0315_usblight_1pc,,,1493
new_stawberry_spreads,51,Strawberry spread (350 Gms),Default Title,,,,,0051_straberry_spread,,,0
new_chocolate_spreads,53,Chocotown Spreads Cocoa spread,Default Title,,,,,0053_chocolate_spread,,,0
new_milk_spreads,52,Milk Spread (350 Gms),Default Title,,,,,0052_milk_spread,,,0
men-night-vision-driving-anti-glare-eyeglasses-hd-vision-wrap-arounds-glasses,507,Night HD Vision Driving Anti Glare Eyeglasses,Default Title,,,,,0507_hd_vision_glass,,,275
hand-held-heat-sealer-super-sealer-mini-sealing-machine,215,HandHeld Sealer (Mini Sealing Machine),Default Title,,,,,0215_sealing_machine,,,735
velvet-electric-pain-relief-heating-gel-pad-with-hand-pocket-multicolour,381,Velvet Electric Pain Relief Heating Bag,Default Title,,,,,0381_velvet_heating_bag,,,0
stereo-bluetooth-headset-wireless-headphone-neckband-style-earphones-for-iphone-nokia-htc-samsung-bluetooth-cellphone,307,Neckband Style Bluetooth Headset/Earphone,Default Title,,,,,0307_hbs_730_headset,851830,CN,99
deodap-adjustable-metal-wood-drywall-circle-hole-saw-drill-bit-cutter-kit-power-tool-set,447,Adjustable Circle Hole Saw Drill Bit Cutter,Default Title,,,,,0447_circle_cutter,,,310
