Handle,Titl,e,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,SKU,HS Code,COO,DeoDap International Private Limited
1727-oval-frame-less-mirror-wall-sticker-for-dressing,1727,A Oval Frame Less Mirror Wall Sticker for Dressing,Default Title,,,,,1727A_Oval_3D_Mirror_Sticker,,,217
4758-dual-side-mobile-stand-holder,4758,Dual Side Mobile Stand Holder,Default Title,,,,,4758_1Pc_Dual_Side_M_Stand,,,229
1458-winter-comfortable-soft-toilet-seat-mat-cover-pad-cushion-plush-1,1458,Winter Comfortable Soft Toilet Seat Mat Cover Pad Cushion Plush,Default Title,,,,,1458_Toilet_Seat_Cover,,,934
4763-plastic-canon-camera-lens-stainless-steel-coffee-mug,4763,Plastic Camera Lens Stainless Steel Coffee Mug,Default Title,,,,,4763_Camera_Coffee_Mug,,,1745
1261-ionic-steam-thermal-spa-steamer-for-beauty-salon,1261,A Ionic Steam Thermal Spa Steamer for Beauty Salon,Default Title,,,,,1261A_Facial_Steamer_200ML,,,1470
0590a_spray_gun,590,A Durable Hose Nozzle Water Lever Spray Gun,Default Title,,,,,0590A_Spray_Gun,,,0
7426_3in1_laser_light,7426,3in1 Laser Light,Default Title,,,,,7426_3in1_Laser_Light,,,640
4762_2layer_soap_stand,4762,"Plastic Double Layer - Soap Stand, Holder, Wall Soap Box Dispenser Tray",Default Title,,,,,4762_2Layer_Soap_Stand,,,0
2635-manual-plastic-fruit-and-vegetable-juicer-for-kitchen-1,2635,Manual Plastic Fruit and Vegetable Juicer for Kitchen,Default Title,,,,,2635_B_Manual_White_Juicer,,,0
4601-rotatable-hooks-for-hanging-361,4601,rotatable hooks for hanging 360,Default Title,,,,,4601_360_D_Rotatable_Hook,,,0
6098-octopus-stress-relief-therapeutic-scalp-massager-1,6098,Octopus Stress Relief Therapeutic  Scalp Massager,Default Title,,,,,6098_Octopus_Head_Massager,,,0
2646_10pc_measuring_cup_set,2646,"Plastic Measuring Cups and Spoons (11 Pcs, Black) With butterfly shape Holder",Default Title,,,,,2646_11Pc_Measuring_Cup_Set,,,4610
4759-wall-mounted-storage-mobile-phone-holder-1pc-only,4759,Wall Mounted Storage Mobile Phone Holder (1Pc Only),Default Title,,,,,4759_JM_Wall_Mob_Stand,,,347
4761-round-shape-mobile-stand-adjustable-mobile-cell-phone-desktop-holder,4761,Round Shape Mobile Stand Adjustable Mobile Cell Phone Desktop Holder,Default Title,,,,,4761_1Pc_Round_Mob_Stand,,,1175
2645-24-grids-plastic-egg-box-container-holder-tray-for-fridge-with-lid-for-2-dozen-24-eggs-pvc-egg-tray,2645,24 Grids Plastic Egg Box Container Holder Tray for Fridge with Lid for 2 Dozen Egg Tray,Default Title,,,,,2645_24Grid_Plastic_Egg_Box,,,0
0519-back-stretcher-lower-and-upper-back-pain-relief-1,519,Back Stretcher Lower and Upper Back Pain Relief,Default Title,,,,,0519_Magic_Back_Support,,,123
3-tier-18-sections-transparent-stackable-adjustable-compartment-slot-plastic-craft-storage-box,2644,3-Tier 18 Sections Transparent Stackable Adjustable Compartment Slot Plastic Craft Storage Box,Default Title,,,,,2644_3Tire_18Sec_Storage_Box,,,0
1666a-back-stretcher-lower-and-upper-back-pain-relief,1666,A Back Stretcher Lower and Upper Back Pain Relief,Default Title,,,,,1666A_Adj_Back_Stretcher_Box,,,0
3-layer-plastic-refrigerator-egg-storage-box-36-grid,2643,3-Layer Plastic Refrigerator Egg Storage Box (36 Grid),Default Title,,,,,2643_36Grid_Egg_Box,,,29
7058_bkt_11x6in_27,7058,"Nonstick Bakeware Bread and Meat Loaf Pan 1Pc, Gray",Default Title,,,,,7058_BKT_11X6in_27,,,0
8058-super-racer-power-car-set-set-of-26,8058,Super Racer Power Car Set (Set of 25Pcs),Default Title,,,,,8058_25Pc_Super_Car,,,0
plastic-garbage-bag-rack-holder-multi-color,6097,Plastic Garbage Bag Rack Holder (Multi Color) (Pack of 2Pc),Default Title,,,,,6097_2Pc_Garbage_Bag_Holder,,,331
0283-adjustable-car-mount-multicolour,283,Adjustable Car Mount (Multicolour),Default Title,,,,,0283_mobile_mount_short,,,1341
2315a-double-layer-24-grid-egg-storage-box-for-egg-storage-container,2315,A Double Layer 24 Grid Egg Storage Box for Egg Storage Container,Default Title,,,,,2315A_24Grid_2lay_Egg_Box,,,0
360-rotating-magic-controller-boomerang-mini-pro-spinner,8057,360°Rotating Magic Controller Boomerang Mini Pro Spinner,Default Title,,,,,8057_Flying_Spinner_Ball,,,0
7424-usb-wall-charger-for-all-iphone-android-smart-phones-1,7424,"USB Wall Charger for All iPhone, Android, Smart Phones",Default Title,,,,,7424_Blk_USB_Adapter,,,1048
4724-foldable-adjustable-portable-laptop-stand-for-laptops,4724,Foldable & Adjustable Portable Laptop Stand for laptops,Default Title,,,,,4724_Folding_Laptop_Stand,,,811
7425-usb-wall-charger-for-all-iphone-android-smart-phones-adaptor-only,7425,"USB Wall Charger for All iPhone, Android, Smart Phones (Adaptor Only)",Default Title,,,,,7425_White_USB_Adapter,,,1415
0341b_elect_hitting_bag,341,B Electric Hot Water Bag (Loose Packing),Default Title,,,,,0341B_Elect_Hitting_Bag,,,0
0641a-fiberglass-body-rubberised-handle-wood-cutting-axe,641,A Fiberglas's Body Rubberised Handle Wood Cutting Axe,Default Title,,,,,0641A_Pick_Axe_685Gm,,,709
8047a-singing-squid-toys-talking-game-cactus-toy,8047,A Singing Squid Toys Talking Game Cactus Toy (With USB Cable),Default Title,,,,,8047A_Dancing_Squid_Toy,,,53
1684-instant-heating-electric-water-heater-faucet-tap-1,1684,Instant Heating Electric Water Heater Faucet Tap,Default Title,,,,,1684_Electric_Heating_Faucet,,,0
2640-non-stick-silicone-spatula-reusable-kitchen-for-cooking-multicolor-1,2640,Non-Stick Silicone Spatula Reusable Kitchen for Cooking Multicolor,Default Title,,,,,2640_Silicone_Spoon_Spatula,,,0
6019-silicone-flex-pillow-gel-orthopaedic-seat-cushion-pad-for-car,6019,Silicone Flex Pillow Gel Orthopaedic Seat Cushion Pad for Car,Default Title,,,,,6019_Flexible_Egg_Seater,,,170
8028-8-hole-battery-operated-bubbles-gun-toys-for-boys-and-girls-1pc-only-1,8028,8-Hole battery operated Bubbles Gun Toys for Boys and Girls (1Pc Only),Default Title,,,,,8028_Gatling_Bubble_Gun,,,0
6095_optical_mouse_s45,6095,Tech USB Optical Mouse,Default Title,,,,,6095_Optical_Mouse_S45,,,162
