prod code,product name,,Variant Grams,Variant Price,Variant Compare At Price,Image Src,Cost per item,SHIPPING,GST,TOTAL,PAYOUT,TRAN CHRG,PROFIT,PURCHASE RATE,MRP,DISCOUNT,SELLING RATE
1544,Self Adhesive Plastic Wall Hook Set for Home Kitchen and Other Places (Pack of 9),Home Improvement,160,58,298,https://cdn.shopify.com/s/files/1/1916/9825/products/9pcs12copy.jpg?v=1607644761,29,42,13,84,80,24,86,274,315,15,268
2168,Rajwadi Mukhwas Dani Traditional Art Work,Home Decor,454,58,298,https://cdn.shopify.com/s/files/1/1916/9825/products/300-30005_3b18c3f3-2303-459f-8e4c-8f5867074bad.jpg?v=1607644965,29,42,13,84,80,24,104,292,335,15,285
1336,Adjustable Folding Shoe Slots Organizer,Home Improvement,384,58,298,https://cdn.shopify.com/s/files/1/1916/9825/products/61Ive59jlQL._200.jpg?v=1611889007,29,42,13,84,80,24,230,418,481,15,409
2133,Mini Spice Box/Masala Dabba with 7 Compartments,"Kitchen Storage, Container & Rack",160,60,298,https://cdn.shopify.com/s/files/1/1916/9825/products/2133MiniSpiceBoxMasalaDabbawith7Compartments.jpg?v=1606579392,30,42,13,85,80,24,86,275,317,15,269
1634,Metal Wire Brush Sink Cleaning Hook Sewer Dredging Device,Cleaning Supplies,178,60,298,https://cdn.shopify.com/s/files/1/1916/9825/products/16341_28b6f71d-d0b3-4ee4-96c8-ac9deaf49721.jpg?v=1629391902,30,42,13,85,80,24,110,299,343,15,292
2399,"Plastic Medu Vada Maker, Mendu Vada Machine",Kitchen,586,60,298,https://cdn.shopify.com/s/files/1/1916/9825/products/SKUCODE_fa03a4ba-c640-41a9-abd4-921559b3550d.jpg?v=1622733334,30,84,21,135,80,24,94,333,383,15,326
0822,"Garden Heavy Plastic Planter Pot/Gamla  (Brown, Pack of 1)",Garden,1050,60,298,https://cdn.shopify.com/s/files/1/1916/9825/products/SKUCODE_07bf3e89-991b-4a58-ad70-9dc2137ce970.jpg?v=1619126032,30,126,28,184,80,24,102,390,448,15,381
1439,Magic Towel Reusable Absorbent Water for Kitchen Cleaning Car Cleaning,Cleaning Supplies,90,62,298,https://cdn.shopify.com/s/files/1/1916/9825/products/01_17dd2824-0c3c-46f8-91e2-b11c0bb78c4e.jpg?v=1622733078,31,42,13,86,80,24,87,277,318,15,270
1179,Multipurpose Portable Folding Plastic Bag,"Kitchen Storage, Container & Rack",400,62,298,https://cdn.shopify.com/s/files/1/1916/9825/products/1179_720f24a7-071c-4ea9-bb27-95222dcad73c.jpg?v=1626365234,31,42,13,86,80,24,125,315,362,15,308
2129,Oval Shape Plastic Multi Purpose Egg Cutter/Slicer with Stainless Steel Wires,Kitchen,221,64,298,https://cdn.shopify.com/s/files/1/1916/9825/products/Eggcutter01.jpg?v=1606579337,32,42,13,87,80,24,87,278,319,15,272
1358,Multipurpose All Weather Arm Sleeves for Sports and Outdoor activities,Travel,94,64,298,https://cdn.shopify.com/s/files/1/1916/9825/products/1358SKUCODE.jpg?v=1613684642,32,42,13,87,80,24,87,278,319,15,272
1647,Yoga Ring Pilates Ring Magic Circle Portable Fitness Tool,Sports,397,66,298,https://cdn.shopify.com/s/files/1/1916/9825/products/SKUCODE_a388a9f1-6df5-4420-ad7d-77578dd67831.jpg?v=1623953032,33,42,14,89,80,24,159,352,404,15,344
